Tahun;1. Pengeluaran Konsumsi Rumahtangga;a. Makanan dan Minuman, Selain Restoran;b. Pakaian, Alas Kaki dan Jasa Perawatannya;c. Perumahan dan Perlengkapan Rumahtangga;d. Kesehatan dan Pendidikan;e. Transportasi dan Komunikasi;f. Restoran dan Hotel;g. Lainnya;2. Pengeluaran Konsumsi LNPRT;3. Pengeluaran Konsumsi Pemerintah;a. Konsumsi Kolektif;b. Konsumsi Individu;4. Pembentukan Modal Tetap Domestik Bruto;a. Bangunan;b. Mesin dan Perlengkapan;c. Kendaraan;d. Peralatan Lainnya;e. CBR;f. Produk Kekayaan Intelektual;5. Perubahan Inventori;6. Ekspor Barang dan Jasa;a. Barang;a.1. Barang Non-migas;a.2. Barang migas;b. Jasa;7. Dikurangi Impor Barang dan Jasa;a. Barang;a.1. Barang Non-migas;a.2. Barang migas;b. Jasa;Diskrepansi Statistik;PRODUK DOMESTIK BRUTO (PDB/GDP);I. Penerimaan;1.1 Penerimaan Perpajakan; 1.1.1 Pajak Dalam Negeri;  a. Pajak Penghasilan;  b. Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah; c.  Pajak Bumi dan Bangunan;  d. Cukai;  e. Pajak Lainnya; 1.1.2 Pajak Perdagangan Internasional;  a. Bea Masuk;b.  Pajak Ekspor;1.2 Penerimaan Bukan Pajak; 1.2.1 Penerimaan Sumber Daya Alam; 1.2.2 Pendapatan dari Kekayaan Negara yang Dipisahkan;1.2.3 Penerimaan Bukan Pajak Lainnya; Pendapatan Badan Layanan Umum;II. Hibah;Jumlah Relasi Pendapatan Negara; 1.2.4 Pendapatan Badan Layanan Umum;II. Hibah;APBN 
2010;3786062,9;1457599,41;154222,23;516319,76;255276,89;894897,67;337157,88;170589,07;72758,87;618177,99;381063,49;237114,5;2127840,68;1580435,01;220377,75;123094,83;30761,07;125663,44;47508,58;129094,6;1667917,83;1520294,97;1266970,72;253324,25;147622,86;1537719,77;1280688,56;1021879,49;258809,07;257031,21;0,001;6864133,1;992249;723307;694392;357045;230605;28581;66166;3969;28915;20017;8898;268942;168825;30097;59429;10591;3023;995271,5;s;3023;995271,5
2011;3977288,56;1489545,17;162350,14;543181,14;268833,74;953673,88;355868,48;203836,01;76790,34;652291,7;407985,18;244306,51;2316359,1;1675388,66;273416,33;143012,24;34347,73;139608,7;50585,44;118207,33;1914267,94;1746663,39;1442177,06;304486,33;167604,55;1768821,87;1495887,83;1203514,53;292373,31;272934,04;1252,2;7287635,3;1205346;873874;819752;431122;277800;29893;77010;3928;54122;25266;28856;331472;213823;28184;69361;20104;5253,9;1210599,7;20104;5253,9;1210599,7
2012;4195787,6;1545635,52;172878,37;575044,01;284508,54;1018099,2;381366,61;218255,35;81918,62;681819;420887,5;260931,5;2527728,79;1811557,99;306654,28;171258,89;35907,65;146767,19;55582,78;174183,11;1945063,7;1761024,33;1479142,45;281881,88;184039,37;1910299,52;1632008,04;1326280,57;305727,47;278291,48;30882,1;7727083,4;1332322,9;980518,1;930861,8;465069,6;337584,6;28968,9;95027,9;4210,9;49656,3;28418,4;21237,9;351804,7;225844;30798;73458,5;21704,3;5786,7;1338109,6;21704,3;5786,7;1338109,6
2013;4423416,91;1612838,79;182010,2;608426,68;300791,33;1085322,2;403321,45;230706,26;88618;727812,07;455890,08;271922;2654375,04;1933672,02;307782,42;161592,49;37472,13;149080,19;64775,79;124453,56;2026113,68;1828150,13;1584708,69;243441,45;197963,55;1945867,32;1665064,16;1338228,67;326835,49;280803,16;57575,86;8156497,8;1432058,6;1077306,7;1029850;506442,8;384713,5;25304,6;108452;4937,1;47456,6;31621,3;15835,4;354751,9;226406,2;34025,6;69671,9;24648,2;6832,5;1438891,1;24648,2;6832,5;1438891,1
2014;4651018,44;1685184,55;190369,18;636224,51;318154,23;1148299,69;430250,02;242536,27;99420;736283,11;459596,22;276686,89;2772470,77;2040386,95;300154,19;152090,47;40913,11;160304,33;78621,72;163582,63;2047887,1;1842728,26;1607807,38;234920,88;205158,84;1987113,92;1704444,33;1377903,78;326540,55;282669,59;81318,46;8564866,6;1545456,3;1146865,8;1103217,6;546180,9;409181,6;23476,2;118085,5;6293,4;43648,1;32319,1;11329;398590,5;240848,3;40314,4;87746,8;29681;5034,5;1550490,8;29681;5034,5;1550490,8
2015;4881630,67;1776297,18;198732,53;666807,39;335479,67;1203217,39;451792,96;249303,55;98799,99;775397,99;476826,12;298571,87;2911355,98;2165135,15;301906,54;152887,38;44887,43;166125,9;80413,58;112847,91;2004466,99;1797134,54;1538132,76;259001,78;207332,45;1862938,95;1596173,56;1272091,58;324081,99;266765,39;60956,52;8982517,1;1496047,33;1240418,86;1205478,89;602308,13;423710,82;29250,05;144641,3;5568,3;34939,97;31212,82;3727,15;255628,48;100971,87;37643,72;81697,43;35315,46;11973,04;1508020,37;35315,46;11973,04;1508020,37
2016;5126307,97;1871194,19;205414,01;698000,52;353822,71;1266170,22;476363,73;255342,59;105362,27;774304,53;477666,9;296637,63;3041584,68;2277210,01;281723,1;171279,91;50685,78;174086,69;86599,19;133400,15;1971182,64;1752864,97;1506594,47;246270,51;218317,67;1818133,16;1558338,32;1237470,2;320868,12;259794,84;100604,32;9434613,4;1546946,6;1284970,1;1249499,5;666212,4;412213,5;19443,2;143525;8104,9;35470,7;32472,1;2998,6;261976,3;64901,9;37133,2;117995,4;41945,9;8987,7;1555934,2;41945,9;8987,7;1555934,2
2017;5379628,64;1969261,34;212345,95;727237,1;373129,39;1334374,09;502070,85;261209,92;112664,35;790756,4;485455,62;305300,78;3228763,01;2419271,82;308540,42;186458,53;55375,99;175833,93;83282,32;126883,56;2146564,52;1915737,26;1664739,51;250997,75;230827,26;1964819,17;1694413,09;1355498,75;338914,34;270406,08;92486,79;9912928,1;1654746,1;1343529,8;1304316,3;646793,5;480724,6;16770,3;153288,1;6738,5;39213,6;35066,2;4147,4;311216,3;111132;43904,2;108834,6;47345,5;11629,8;1666375,9;47345,5;11629,8;1666375,9
2018;5651456,27;2072120,58;221470,07;760931,91;391786,66;1407373,01;530343,78;267430,25;122969,84;828876,59;508010,61;320865,98;3444310,25;2550271,59;369427,38;201829,66;59995,51;180624,14;82161,98;197369,64;2286394,89;2038478,44;1805236;233242,43;247916,46;2203269,94;1915577,84;1584931,21;330646,63;287692,1;97744,36;10425851,9;1928110;1518789,8;1472908;749977;537267,9;19444,9;159588,6;6629,5;45881,8;39116,7;6765,1;409320,2;180592,6;45060,5;128574;55093,1;15564,9;1943674,9;55093,1;15564,9;1943674,9
2019;5936399,47;2179119,14;230920,53;796376,16;417643,65;1474685,11;561967,47;275687,39;136027,41;855962,99;531495,22;324467,77;3597664,13;2687303,09;387001,88;193520,2;58113,51;189751,1;81974,36;129953,84;2275488,26;2026847,84;1829521,44;197326,4;248640,42;2046244,2;1756455,93;1485562,23;270893,69;289788,27;63903,51;10949155,4;1955136,2;1546141,9;1505088,2;772265,7;531577,3;21145,9;172421,9;7677,3;41053,7;37527;3526,7;408994,3;154895,3;80726,1;124503,6;48869,3;5497,3;1960633,6;48869,3;5497,3;1960633,6
2020;5780223,44;2190250,95;221190,8;814540,29;430533,98;1333608,96;516212,06;273886,4;130306,47;874145,57;527045,91;347099,65;3419181,61;2585622,97;342342,23;168223,66;51979,25;195075,9;75937,6;51334,13;2083941,85;1956816,47;1768806,92;188009,55;127125,38;1686003,79;1498606,17;1271236,3;227369,87;187397,62;69870,03;10722999,3;1628950,53;1285136,32;1248415,11;594033,33;450328,06;20953,61;176309,31;6790,79;36721,21;32443,5;4277,71;343814,21;97225,07;66080,54;111200,27;69308,33;18832,82;1647783,34;69308,33;18832,82;1647783,34
2021;5896661,85;2222126,49;221042,12;832371,64;437835,19;1368171,38;536203,53;278911,5;132411,92;911319,71;522786,59;388533,12;3549218,8;2645502,22;382273,44;187893,93;56790,14;197336,28;79422,79;62709,09;2458849,06;2347224,78;2127473,21;219751,57;111624,28;2105117,06;1897577,9;1627636,87;269941,03;207539,16;214006,34;11120059,7;2006334;1547841,1;1474145,7;696676,6;551900,5;18924,8;195517,8;11126;73695,4;39122,7;34572,7;458493;149489,4;30496,8;152504;126002,8;5013;2011347,1;126002,8;5013;2011347,1
2022;6187943,9;2298902,16;230575,09;855635,1;448391,77;1496542,92;571448,69;286448,17;139903,63;870558,23;520872,57;349685,67;3686573,75;2669608,59;468068,04;207182,85;56630,2;201522,65;83561,41;70749,22;2858016,46;2683401,11;2471996,56;211404,55;174615,35;2420793,78;2133092,24;1813699,78;319392,46;287701,54;317296,48;11710247,9;2630147;2034552,5;1943654,9;998213,8;687609,5;23264,7;226880,8;7686,1;90897,6;51077,7;39819,9;595594,5;268770,8;40597,1;196324,3;89902,3;5696,1;2635843,1;89902,3;5696,1;2635843,1
2023;6486253,87;2378092,3;240891,54;888144,19;466265,12;1610203,24;607899,69;294757,78;153656,62;896196,41;553065,92;343130,49;3848715,98;2777458,4;482504,35;239647,31;54432,81;205644,47;89028,64;127672,38;2895835,1;2653448,17;2424132,94;229315,22;242386,93;2380948,89;2059805,02;1732115,74;327689,28;321143,87;274012,13;12301393,6;2634148,9;2118348;2045450;1040798,4;742264,5;25462,7;227210;9714,4;72898;53094;19804;515800,9;223312,1;81535,8;131493,6;79459,4;3100;2637248,9;79459,4;3100;2637248,9
2024;5074971,92;1856548,68;185109,34;689633,63;361802,59;1273176,26;480806,87;227894,58;128309,95;641363,34;397438,23;243925,11;2961906,18;2164138,9;377222,96;158666,96;44269,23;151520,05;66088,1;246857,36;2257821,08;2052476,82;1879712,04;172764,77;205344,25;1877681,52;1627030,62;1377794,97;249235,64;250650,9;190029,69;9623578;2801862,9;2309859,8;2234959,3;1139783,7;811365;27182,2;246079,4;10549;74900,5;57372,5;17528;492003,1;207669,6;85845,5;115136;83352;430,6;2802293,5;83352;430,6;2802293,5
